Just looking at him makes me  M_go M_weak at the M_knees .
"With each retelling, Matt added more  M_embellishments  to his story."
 M_Fancy  writing is often used to obscure the truth.
Everyone  M_embroiders  the truth to some extent.
Her  M_colourful  account of her life proved a huge success.
They  M_glossed over  all the difficult questions.
We have been  M_close  friends since we were five.
We were  M_inseparable  as children.
"The very first time that they met, they  M_bonded  immediately."
I was very  M_attached  to him.
The school encourages  M_links  between students and local businesses.
He was left some money by a  M_distant  relative.
 M_Cracks  appeared in the relationship.
There was a growing  M_rift  between president and vice-president.
The book describes the deep  M_divisions  within the government.
The party was  M_torn M_apart .
She had just  M_split /broken up with her boyfriend.
My parents  M_separated  when I was very young.
We are both committed to  M_mending  our marriage.
The visit is part of an attempt to  M_repair  the relationship between the two governments.
I’m glad to see that you two have  M_patched M_things up .
The meeting was designed mainly as a  M_fence-mending  exercise.
The first step is to  M_build M_bridges  with the other side.
She’s very good at  M_smoothing over  the differences between conflicting parties.
The agreement did no more than  M_paper over the M_cracks .
You’ve  M_lost  me. What do you mean?
I was completely  at M_sea : it was all so new to me.
"I felt  M_adrift  and alone, with no real sense of direction."
I seem to have  M_lost  my bearings.
I don’t  M_know if  I’m coming or going.
I feel like  a M_fish out of M_water .
You’ve got it all  M_back to M_front .
Scotland  M_beat  England 1–0.
They were  M_thrashed  by Manchester United.
The home team  M_annihilated  the opposition.
The home team took a real  M_battering .
We  M_hammered  them in the final.
She  M_slaughtered  me last time we played tennis.
They suffered a  M_crushing  defeat by the Spanish side.
They were  M_knocked out  of the competition.
It was a  M_knockout  competition.
There was a  M_sudden M_death  play-off for third place.
They have no power/control  over  their staff.
She ruled  over  the empire for many years.
"He remained  at the M_top  for ten years, until his retirement."
They have come out  on M_top  yet again.
She holds the  M_highest  position in the company.
There are many staff  under  her.
How many people are there  above  you?
I began my career as a  M_lowly  office worker.
Don’t let them  M_walk all over  you.
the  M_upper /lower classes
They were  M_downtrodden  and oppressed.
She’s completely  under  his thumb.
They have a  M_hold  over him.
The military forces  M_seized  power.
Police kept a  M_firm M_grip  on dissenters.
She seems to have a  M_handle  on most of the work.
I’ve got the situation well  in M_hand .
The children are completely  out of M_hand .
Who makes the decisions? Who is  M_pulling the M_strings ?
I have no idea who’s  in the M_driving M_seat .
The company expanded greatly during his years  in the M_saddle .
She is  M_steering  the country through much-needed reforms.
She kept her staff on a very  M_tight M_rein .
The news  M_lifted  her spirits.
Things are looking  up .
Cheer  up !
My spirits  M_rose  when I got her letter.
I’ve been  M_walking /floating on air ever since.
I was  over the M_moon  when they told me.
I felt as  M_high as a M_kite .
She’s  on M_top of the M_world /on cloud nine.
I was in  M_seventh M_heaven .
I feel really  down /low about it all.
He’s in very  M_low  spirits.
He’s in the  M_depths  of despair.
My heart  M_sank  when I saw him.
They looked very  down in the M_mouth /down in the dumps.
The future looks very  M_bright /rosy.
She  M_brightened  up when she heard the news.
His face  M_lit up  when he saw them.
They had  M_shining  eyes and beaming/dazzling smiles.
The bride looked  M_radiant .
You have to look for  the M_light at the M_end of the M_tunnel .
He was in a  M_black  mood.
I was feeling  M_blue .
There’s no point in having these  M_dark  thoughts.
His face  M_darkened .
They led a  M_grey  empty existence.
I’m afraid the outlook is very  M_gloomy /bleak/dismal.
The news cast a  M_shadow  over the evening.
They are  M_power-hungry  and will stop at nothing.
They are  M_greedy  for power.
My grandmother had a huge  M_appetite  for life.
We’re  M_starved  of interesting things to do.
I have developed a  M_taste  for foreign travel.
Here’s something to  M_whet  your appetite.
She  M_hungered  to see him again.
They  M_thirsted  after knowledge.
I  M_devoured  every book on the subject that I could find.
I  M_see  what you mean.
I  M_saw through  him at once: I knew he was lying.
They  M_recognized  the fact that they needed to improve.
She has great  M_insight  and will know what to do.
I could not  M_foresee  what would happen.
He’s very  M_clear-sighted .
There was a change in the public  M_perception  of education.
The answer is very  M_obvious .
I’m  M_unclear  about what they did next.
She had a  M_clear  understanding of what was involved.
Their motives are  M_transparent .
How did you know? You must have  M_read  my mind.
I can  M_read  him like a book.
They  M_turned a M_blind M_eye  to what was happening there.
She has a good  M_grasp  of Japanese.
I need to  M_get to M_grips with  the subject.
I’m still  M_grappling with  the basics.
"I couldn’t  M_put  my finger on it, but there was definitely something wrong."
You’ve certainly got your  M_finger on the M_pulse .
Such abstract concepts can be very  M_slippery .
It’s quite a difficult idea to  M_get M_hold of .
She accused him of  M_covering up  the truth.
They  M_hid /concealed the truth as best they could.
He tried to  M_mask /disguise/camouflage his true feelings.
She wanted to  M_bury  the memory of that day.
The operation was  M_cloaked /shrouded/veiled in secrecy.
We will  M_draw a M_veil over  what happened next.
You’re just trying to  M_paper over  the problem.
The project is still  under M_wraps .
They kept it  M_dark  that they were planning to leave next day.
There has been a complete news  M_blackout .
This report is nothing but a  M_whitewash : what really went on?
He  M_uncovered /revealed/exposed a terrible secret.
"After a few minutes, she began to  M_open up  and talk about her family."
You have always been very  M_open  about your feelings.
Someone  M_leaked  the information to the press.
The news had already  M_got out .
My father  M_let the M_cat out of the M_bag  and spoiled the surprise.
Do you know who  M_spilled the M_beans ?
He  M_spilled  his guts to the police.
"Our children have grown up to be  M_stable , loving adults."
Friends describe Laura as a  M_well-balanced  young woman.
Being married makes me feel  M_grounded .
She was engaged to a  M_solid  young man called Frank.
"He’s a  M_steady  kind of person, nothing fazes him."
"Jayne’s very  M_level-headed , while I’m more up and down."
It’s hard to  M_keep your M_feet on the M_ground  when you suddenly become famous.
"When he left her, she  M_collapsed in a M_heap ."
I had a bit of a  M_wobble  but I’m all right now.
Nothing ever seems to  M_throw her off M_balance .
I was just  M_knocked M_sideways  by what happened.
She thinks we live in a  M_sick  society.
We must address the social  M_ills  that are at the root of crime
She said that there was a  M_cancer  at the very heart of society.
Transport was another  M_headache  for the government.
London was  M_paralysed  by a series of strikes.
We discussed the company and its  M_ailing  finances.
The economy is very  M_healthy /unhealthy.
The economy began to  M_recover .
There is no simple  M_remedy  for the problem.
This latest development has  M_reopened M_old M_wounds .
He bore the  M_scars  of a troubled childhood.
She  M_hit out M_angrily at  the judge’s decision.
"He  M_lashed out at  me, accusing me of not caring."
They  M_tore  me to pieces/shreds.
They  M_rapped  me over the knuckles about it.
They were  M_gunning  for me.
Don’t  M_beat  yourself up over this.
Don’t  M_knock  what you don’t understand.
There’s no need to  M_jump down  my throat.
She tried to  M_defend  herself against his attacks on her ideas.
She  M_shot down  his argument.
That is an  M_indefensible  point of view.
I decided to pursue another  M_line of M_attack .
"We had a big  M_fight  last night, and I went home early."
There was a lot of  M_conflict  over what to do next.
They  M_clashed  over who to appoint.
It was a real  M_battle of M_wits .
We  did M_battle with  the council about the plans.
I’ve  M_crossed M_swords with  them before.
Tom is always the first to leap to her  M_defence .
The news has  M_hit  him really hard.
The news  M_came as M_quite a M_blow .
I was  M_reeling  from the shock.
It had a huge  M_impact  on them.
We were very  M_moved /touched by her story.
